[05:48:03] ==== 송파구 매물 수집 시작 ====
[05:51:56] 11710105 offset=180 → 20개 (누적 200)
[05:51:57] 11710105 offset=200 → 20개 (누적 220)
[05:51:59] 11710105 offset=220 → 20개 (누적 240)
[05:52:00] 11710105 offset=240 → 20개 (누적 260)
[05:52:02] 11710105 offset=260 → 20개 (누적 280)
[05:52:03] 11710105 offset=280 → 20개 (누적 300)
[05:52:05] 11710105 offset=300 → 20개 (누적 320)
[05:52:07] 11710105 offset=320 → 20개 (누적 340)
[05:52:08] 11710105 offset=340 → 20개 (누적 360)
[05:52:10] 11710105 offset=360 → 20개 (누적 380)
[05:52:11] 11710105 offset=380 → 20개 (누적 400)
[05:52:13] 11710105 offset=400 → 20개 (누적 420)
[05:52:15] 11710105 offset=420 → 20개 (누적 440)
[05:52:16] 11710105 offset=440 → 20개 (누적 460)
[05:52:18] 11710105 offset=460 → 20개 (누적 480)
[05:52:20] 11710105 offset=480 → 20개 (누적 500)
[05:52:21] 11710105 offset=500 → 20개 (누적 520)
[05:52:23] 11710105 offset=520 → 20개 (누적 540)
[05:52:24] 11710105 offset=540 → 20개 (누적 560)
[05:52:25] 11710105 offset=560 → 20개 (누적 580)
[05:52:27] 11710105 offset=580 → 20개 (누적 600)
[05:52:28] 11710105 offset=600 → 20개 (누적 620)
[05:52:30] 11710105 offset=620 → 20개 (누적 640)
[05:52:31] 11710105 offset=640 → 20개 (누적 660)
[05:52:33] 11710105 offset=660 → 20개 (누적 680)
[05:52:35] 11710105 offset=680 → 20개 (누적 700)
[05:52:36] 11710105 offset=700 → 20개 (누적 720)
[05:52:38] 11710105 offset=720 → 5개 (누적 725)
[05:52:38] 
📍 11710106 수집 시작
[05:52:38] 11710106 전체 매물: 122
[05:52:38] 11710106 offset=0 → 20개 (누적 20)
[05:52:40] 11710106 offset=20 → 20개 (누적 40)
[05:52:41] 11710106 offset=40 → 20개 (누적 60)
[05:52:43] 11710106 offset=60 → 20개 (누적 80)
[05:52:44] 11710106 offset=80 → 20개 (누적 100)
[05:52:46] 11710106 offset=100 → 20개 (누적 120)
[05:52:47] 11710106 offset=120 → 2개 (누적 122)
[05:52:47] 
📍 11710107 수집 시작
[05:52:47] 11710107 전체 매물: 324
[05:52:47] 11710107 offset=0 → 20개 (누적 20)
[05:52:49] 11710107 offset=20 → 20개 (누적 40)
[05:52:50] 11710107 offset=40 → 20개 (누적 60)
[05:52:52] 11710107 offset=60 → 20개 (누적 80)
[05:52:53] 11710107 offset=80 → 20개 (누적 100)
[05:52:55] 11710107 offset=100 → 20개 (누적 120)
[05:52:56] 11710107 offset=120 → 20개 (누적 140)
[05:52:58] 11710107 offset=140 → 20개 (누적 160)
[05:52:59] 11710107 offset=160 → 20개 (누적 180)
[05:53:01] 11710107 offset=180 → 20개 (누적 200)
[05:53:02] 11710107 offset=200 → 20개 (누적 220)
[05:53:03] 11710107 offset=220 → 20개 (누적 240)
[05:53:05] 11710107 offset=240 → 20개 (누적 260)
[05:53:07] 11710107 offset=260 → 20개 (누적 280)
[05:53:08] 11710107 offset=280 → 20개 (누적 300)
[05:53:10] 11710107 offset=300 → 20개 (누적 320)
[05:53:11] 11710107 offset=320 → 4개 (누적 324)
[05:53:11] 
📍 11710108 수집 시작
[05:53:11] 11710108 전체 매물: 263
[05:53:11] 11710108 offset=0 → 20개 (누적 20)
[05:53:13] 11710108 offset=20 → 20개 (누적 40)
[05:53:14] 11710108 offset=40 → 20개 (누적 60)
[05:53:16] 11710108 offset=60 → 20개 (누적 80)
[05:53:17] 11710108 offset=80 → 20개 (누적 100)
[05:53:19] 11710108 offset=100 → 20개 (누적 120)
[05:53:20] 11710108 offset=120 → 20개 (누적 140)
[05:53:22] 11710108 offset=140 → 20개 (누적 160)
[05:53:24] 11710108 offset=160 → 20개 (누적 180)
[05:53:25] 11710108 offset=180 → 20개 (누적 200)
[05:53:27] 11710108 offset=200 → 20개 (누적 220)
